	text	class
7082	эфир       задойнов с оркестром      	1
7083	 бокальчик забыла умыкнуть  давно такие хочу	0
7084	    афигеть о  ты крут  поздравляю d	1
7085	машка с женей меня тралят из за того  что я сосалась с кубиком  	0
7086	мы без инета  но уже на границе с польшей  проехали оршу  борисов  погуляли по минску  барановичи и сейчас в бресте  циклон с нами    	0
7087	   на нг хочу собраться большой компанией  чтобы весело было   	1
7088	 попой там вместе с патриком за меня      	0
7089	хочу вернуть свой    и пойти на animal джаz  а не с кем  	0
7090	наш первоклассник знает группу   мумий тролль   и песню палюбви  уух  я его обожаю   	1
7091	а может  перенесётся встреча   так впадлу ехать к чёрту на рога  	0
7092	     каждый из нас по своему лошадь   крылатое выражение    кто знает тот поймет      gymkol	1
7093	он раньше был красивка  а сейчас нет чот             	0
7094	 та не встигну зробити все до нового року 	0
7095	 ну ппц  не расстраивайся  хорошая моя  	1
7096	 неет   нихуя   я не верю     она не могла   	0
7097	 не получается пока          	1
7098	а вообще  грустно   уже пошел обратный отсчет до последней части  hobbit	0
7099	  who sais the mac os is flawless      недовольным тоном жалуется john guttag на лекции  воюя с макосью  d	1
7100	   дружба ведь она разная бывает    для меня собака четвероногий друг  а для березки трехногий враг  d 	1
7101	лента  это моя комната   я ее недавно украсила  	1
7102	 ой а у меня семерка     и тач айди   из за него не хочу продавать  	1
7103	скоро отпуск   буду фрилансить  блогить и подкастить  	1
7104	ахахахахахахахахаха как точно подмечено  d 	1
7105	 он же мертвый так и так   какая ему разница 	0
7106	      предновогодние обнимашки для тебя        лучше в гости приезжай 	1
7107	   вот я дура     он хотел со мной поговорить  а я поздоровалась и отвернулась 	0
7108	вставай  с первыми лучами вставай  с дыханьем природы вставай        пара нормальных    вст	0
7109	я понял  чем хороши светлые волосы  можно не мыть голову по     дня и совсем незаметно   	1
7110	 смотрю ты начал обновлять свой твиттер    p s на долго ли  	1
7111	кислый блинный пирог с курицей и индейкой   в шоколадницу больше не пойду 	0
7112	у погоды сегодня явный гормональный сбой   непредсказуемо то плачет   то смеется   	1
7113	подруга сказала что обожает чистить картошку      теперь боюсь с ней общаться походу она инопланетянка     teamfollowback	1
7114	 хорошо  пока мой iq вместе с ее программой  правда она еще в четвертом    вот со следующего года  точно вам прийдется мне помочь	1
7115	  попали мы с вами  в одно время   	0
7116	   распечатать эту фотку   	1
7117	    а ведь правда же      	1
7118	матан вселяет раздор в наши ряды  все нервные   	0
7119	багиров за варламова  не  ну тогда у меня нет выбора  	0
7120	     только ложусь спать  через   часа вставать на работу   давно так не гулял   	1
7121	ну вот теперь точно  модная      sweet home 	1
7122	мне кажется я тебя люблю       мужчина такое анонимно не напишет 	0
7123	   он хотел увеличитель члена    опасайтесь кидняка     	1
7124	 ну я отчасти хочу в школу  сегодня самый норм день   и пересадивать будут  скажешь потом куда пересалят меня ок 	0
7125	  даа   каждый вечер издевается  	0
7126	аа ну почему тут так долго все делается   	0
7127	 ну если только чуть чуть  а так что то нет  погода совсем не радует  был бы снег хотя бы  а то его нет    	0
7128	хм     хоть что то хорошее в этом дистре  смог настроить интернет через тедефон и этот гребанный билайн модем     	1
7129	уже скучаю же    сообщения вк не заменят настоящего общения но я рада и этому	0
7130	   сериалы  которые хочу посмотреть  закончились   	0
7131	вырвите мне глотку  я не могу больше терпеть эту боль   	0
7132	я неудачник бле  купил вчера билет  а сегодня он уже на      р дешевле   	0
7133	по следам    красноглазики анально огородились  пукнули какашкой и сидят радуются  как мало надо убогим для радости    а	1
7134	   надо же было встретить сегодня в меге в адидасе парней  с которыми отдыхали в испании  как же мир тесен все таки 	1
7135	  давайте устроим перепись отвратительных людей с разным телосложением 	1
7136	я знаю что вы не зададите  	0
7137	   пулек     выстрелов     мишеней на поражение и этот мотя мой  я чертов ворошиловский стрелок	1
7138	 ничего  я надеюсь  еще встретимся до нг  	1
7139	не доходят руки   дойди ногами © остапко опять отжёг  почему на трезвую голову так не получается    	0
7140	  источником дождя  как известно  кристин  являются тучи 	1
7141	жаль  когда возвращаешься в родные края  а там   все воспоминания покрыты новыми белилами  	0
7142	 tsvetnoywish  tsvetnoy  centremarket  moscow   москва  цветной  аленахочетэто  этаж  голосуйтезаменя     	1
7143	хочуу к любимому   	1
7144	соонная  страшная  сижу под одеялом  свернувшись и пишу тут  	1
7145	 это где так выражаются   ни разу не слышал 	1
7146	так клёво когда тебя заьыкают поцелуем   мм   	1
7147	кура в пиве и макароны с сыром  жаль стописят нетт    	0
7148	господи  это просто нечто  всё таки у меня есть фото с сашей     	1
7149	   а у нас землетрясение  по ощущениям балла        	1
7150	ну нахрена надо было изобретать велосипед sdm  теперь из под генты с msdn фиг чего утянешь  	0
7151	аренда однокомнатной квартиры ул  воронежская д      метро обводный канал      минут 	0
7152	а еще мне сегодня позвонили и сказали что мне целый месяц даже немного больше нельзя употреблять алкоголь  ебать люди че делать   	0
7153	 rufollowback rufollowback с моей татушки начала отлетать корка  я надеюсь все ок будет с заживлением 	1
7154	праздник удался  спасибо всем кто был     это были самые веселые сутки этого лета    	1
7155	   спасибо брат иосиф      	1
7156	в сборной года нет ни одного игрока апл   	0
7157	   кто в оранжевой каске  тот   я          євромайдан	1
7158	 перед такими мудаками надо еще останавливаться и в сумочке ковыряться  ибо нефиг      	1
7159	   болельщики  с праздником    всемирныйденьфутбола  worldfootballday 	1
7160	помню  как лично рисовал эти усы марине аззазазааз dd 	1
7161	аха сейчас видил как мужик едет и бреется за рулем d	1
7162	я  похоже  первая открываю сезон  сегодня на глиинку   	1
7163	    здрасьте    	1
7164	сукаа инстаграм сейчас конкретно удивил  d застрелите меня аха	1
7165	 классный кстати тоже палила его ночью 	1
7166	    продолжайте  мы тип ниче не видим  dd 	1
7167	оказывается не все любят траву броди    	0
7168	а на psto наверное одни интересные личности  почти весь банлист угнича  а еще я постоянно забываю psto он или ptso 	1
7169	   мне сегодня не понравилось   	0
7170	на её фотки и текут слюни         вот это я понимаю влюбился    смотрю	1
7171	 эй эй  куда настрой делся    	0
7172	и кто теперь мне скажет что жизньнеболь   	0
7173	 скорейшего восстановления вашим  действительно  перебор с травмами 	0
7174	нихрена не спать ночью и выспаться даа это я могу 	1
7175	      января мы дружно шагаем в мпк на громаду   	1
7176	две недели не общались  безумно соскучилась 	0
7177	 скажите пожалуйста  как у человека может быть      одноклассников  o o	0
7178	 так ось воно що    все через очі  	0
7179	 такое желание у каждого бывает  но ты не грустии  ведь все наладится 	1
7180	арр  столько творится и столько всего хочется что хоть разорвись  куча курсов на интуите  курсере и юдасити  не говоря про кодакадеми висит 	0
7181	   сухая стирка по мужски  это когда из корзины с грязным бельем достается что нибудь самое чистое   	1
7182	 тав я дошел кароче    мне холодно и грустна	0
7183	 вас жальче всего из всей лавочки    	0
7184	   группа внутренних войск взята под охрану отрядами самообороны майдана с обеих сторон ул хрещатик        євромайдан http …	1
7185	   про полую землю    	1
7186	   до сих пор пугает новость  что в зеркале мы видим себя в   раз красивее   боже мой  	0
7187	я ненавижу себя   за то что сейчас читаю нашу переписку и рыдаю за утренним чаем   черт бы тебя побрал я скучаю   	0
7188	скучно в самолете    взлететь должне были   минут назад  а еще даже не на взлетной полосе    	0
7189	    улыбайся чаще    и чаща улыбнется тебе   	1
7190	“  натюрморт     ”   сволочи 	0
7191	   я к сожалению уже не надеюсь       	0
7192	   не знаю как кому  но лично мне надоела эта школа 	0
7193	прекрасна просто в это надо поверить и смотреть на жизнь совсем другими  светлыми  по 	1
7194	 спасибо мои милые  а то я бы не справилась  	1
7195	 с удовольствием бы с тобой поболтала  только уезжаю я в субботу 	0
7196	  ты достал искать проблемы во всем d	1
7197	 ну точно не галя  d идем дальше кого предложишь  	1
7198	    а ты свалишь  d ты же псих мастер	1
7199	слава богу       мучительные недели в поисках сумки кончились   я её купилаа    	1
7200	сегодня супер крутой день  не смотря на то что мы не спали почти всю ночь у меня полный заряд энергии и я счастливаая      	1
7201	доброе утро  сегодня меня мама оставила без компьютера  	0
7202	   я тоже хочу побывать на свадьбе  это же так круто 	0
7203	 вово ахах у нашей даши вообще сиськи меньше стали d	1
7204	     день в школе все хорошо только по прежнему холодно 	0
7205	   аахахахаххахахахааха  маша плакалаа   я бля оруу  как так можно      	1
7206	жуйк  подскажи что посмотреть на ночь глядя  душа хочет фантастики   	1
7207	все спят а ксю идет в универ   	0
7208	 да да  в белоруссии или армении  технология на технологии  и технологией погоняет  и все одна другой инновационней 	1
7209	могу долго возмущаться о том что алгебра и геометрия не пригодятся нам в жизни но это все равно не спасет меня от завтрашней контрольный   	0
7210	 сама не знаю  и пневмания  и с желудком что то 	1
7211	еще раз убедилась что верить никому нельзя  	0
7212	  ой  да найлуш тоже у гарри уже уроки берет по моему d	1
7213	   а завтра у меня намечается чудо переезд  с перетаскиванием всех вещей в машину и конечно же  чудо стиральной машины   всю	1
7214	 амраагүй ээ  ажилж бна ахлагч аа     	1
7215	 папа пельмени покупать не хочет  	0
7216	   еглеений дасгалаа хийгээрэй  амжилт    	1
7217	   я никому не буду доказывать  что я хорошая  пусть мне попробуют доказать  что я плохая  	0
7218	    еленда выздоравливай давай   	1
7219	сегодня иронично провел день с ироничным фотоаппаратом и ироничными рогатыми телками     	1
7220	  даа     мороз и солнце день чудесный  	1
7221	 если уже ja rule гей   мне больше нечего искать в этом мире     	1
7222	 ты с устраивал перестрелки с ист коустом  	1
7223	отличная погода сегодня была  фотка special for     	1
7224	   я не помню откуда у меня ахуенный синяк на шее и как я доехала домой  а что тебя видела подавно не помню   	0
7225	все таки в мире не без добрых людей    	1
7226	 я вообще кукурузу только в таиланде ела  надо будет попробовать	1
7227	всем добра и хорошего дня     	1
7228	кому нужна те позвонят  найдут   тебе я не нужна    	0
7229	я уже сообщений    написала ему  а он уехал  на неделю     	0
7230	 физкультура                       пидр	0
7231	хватит это терпеть с завтра я не пью зарикаюсь 	0
7232	божечки  какая классная реклама диора с паттинсоном    	1
7233	 круто  а мы еще еды не покупали 	0
7234	 егуповка не разглашай мои тайны и запомни моя фамилия не склоняется надоелоо 	1
7235	порезала палец об лезвие коньков  больно   	0
7236	    норм  посередине ночи зверско зачесалас коленка   окей почесала   ипать   и не смогла уснуть   где то…	1
7237	  я не знаю як можна святкувати андрія без калити   	0
7238	еще никогда не было так больно    уже не чем рыдать     	0
7239	учим отрывок из онегина  	0
7240	сбылась мечта идиота и теперь он   начинающий турист      	1
7241	хотя думаю и без желания обойдется все  я своих предков знаю  особенно отец  который если придет в школу  то скажет все что так давно хотел 	1
7242	из шести претендентов в конкурсе oldschool tiny music мне понравились   и     	1
7243	я заметила  что в этом месяце много у кого день рождения круто 	1
7244	   на сей раз   день республики  к нам приедут а студио и фабрика  ну зачеем      	0
7245	   жуйковчане   а на какие бы вы могли мне посоветовать сходить сайты чтобы немного разобраться со световым оборудованием   	0
7246	 ну да ну да не про меня я тут больше не кого то и не вижу 	0
7247	ребят подскажите пожалуйста где находится и как найти кафедру   инженерная экономика и маркетинг      спасибо за ранее 	1
7248	или это я такие новости нахожу  или действительно ничего хорошего не происходит    	0
7249	я почти приготовила осталось только полить глазурью уруруру  	1
7250	 и я по тебе       рассказывай  как дела  чем занимаешься   	1
7251	мне почему то кажется  что он и в жизни очень милый и хороший  не может человек с такими добрыми глазами быть плохим   	1
7252	   интернет банк рос банка работает только в опере  не знаю  это   жалоба или похвала   	1
7253	  вот вот  предки так и сказали	0
7254	   вот бывает придёшь в гости  зная что надел дырявые носки и говоришь   ой  носок порвался     типа он тока щас порвался  d	1
7255	сегодня   отличный день  чтобы сойти с ума  лучше не придумаешь  блеать  	0
7256	 мне бы наоборот на ровном хотелось чертить  d	1
7257	 а что за анальгетики  друг  и почему только на следующей неделе  	0
7258	 как обычно  пока петух в ж    не клюнет              	0
7259	как же холодно на улице   	0
7260	затарились подарками к нг  по тв идет любимая ирония судьбы  продолжение   а я валю на репу    уа уа уа уаа 	0
7261	фу меня бесит долго спать дня мало остается 	0
7262	любимый сказал только сегодня  что этим летом пробовал вейк    сссука  я тоже хочу 	0
7263	сегодня меня обвинили во всем чем только можно  классный денек  	1
7264	  для вашего возраста зубы в отличном состоянии    и на том спасибо    	0
7265	 надежды  увы  не всегда оправдываются 	0
7266	видимо мне совсем не судьба матан вытянуть 	0
7267	 канцлер это премьер министр  у любой федерации есть президент   	1
7268	 нет останься линта скучать будет    	0
7269	 заехали в одессу   забираю вещи с квартиры и к подруге   квартиру мусора пасут из за некоторых неадекваток     	0
7270	   кому понедельник день тяжелый  а кому вообще пиздец   	0
7271	о седня был на одной паре и завтра тоже потому что на рисунок он не ходит   	0
7272	  свет  откровенно говоря  уже и не помню о чём мы  а разворачивать переписку лень    p s  свой аккаунт даавно удалила 	1
7273	 нормально все  ничего особенного  пару вопросов  зачем куда 	1
7274	   и на кой хрен мне instagram     со старой иконкой  кругом халтурщики    	1
7275	папа не курил дня     я переживая    нервный он какой то	0
7276	    вы сначала на той территории  что есть порядок наведите  украина на россию не предендует   	1
7277	вышла на улицу на   минуты   заработала гайморит  ебнулась с крыльца  ушибла бедро  что то подсказывает  что день будет хуёвый   	0
7278	а я такой весь на спорте по дому  заниженный  матовый    	1
7279	нужно искать подарки  везде все украшено ярмарки разные со всем новогодним  но все равно почему то не верится  что вот уже совсем скоро  	1
7280	   шикарный мой    	1
7281	где таксии     я задолбалась ждать    	0
7282	иногда мне кажется  что со мной никто не хочет общаться   	0
7283	завтра квн в ринхе  буду смотреть себе составчик с пименом 	1
7284	   я опять стану агрессивной и злой 	0
7285	 надо посмотреть  паук крепись  	0
7286	       села в ступу  и уматала отсюда            щяс я тибе уматаю 	1
7287	навалилось какое то непонятное чувство одиночества  мне даже в кафе не с кем сходить  	0
7288	 напомнило  	0
7289	очень многие мужчины до сих пор зависимы от мамкиной сиськи         “  ужасы одного форума  ”	0
7290	   мадам  вы бредите  	1
7291	откопал очередной проект с йорном ланде на вокале   mundanus imperium  нормальное такое название 	1
7292	 по вам тоже очень буду скучать  но я всего на три четыри дня это хоть радует 	1
7293	   өнөө цаг үе минь     ийм л болж шд            	0
7294	  хорошие новости  сегодня суббота  а завтра воскресенье 	1
7295	   завтра  олимпийскийогонь в тамбове  приказано стоять в оцеплении   	0
7296	на перший урок не попала  бо дорога погана    	0
7297	мой мозг скоро взорвётся  как же я устала сегодня 	0
7298	у меня снова проблемы со спиной  и сейчас мне страшнее прежнего в     раз  	0
7299	у меня обнаружилась пыль на матрице     надо чистить  в задумчивости  нести в сервис  или чистить самому    	0
7300	иногда мне кажется что мы из разных миров      	0
7301	блин голос конкретно охрим  разговаривать не могу 	0
7302	   друзья  а поехали завтра в павловск пить салмиаки и хавать лакрицу   	1
7303	 ты долго думала над ответом  тебе хуево ес честно  	0
7304	   я так быстро привыкаю к людям а отвыкаю годами  я скучаю по ним     кто то просто забыл  ис	0
7305	 еще точно не знаю ну скорее всего иду   а что 	1
7306	у меня мурашки от этого видео  you tube сделал пародию на все самые лучшие видео      и всё это вместили в   минут  	1
7307	теперь я расхотела идти в операторы    ну и че  бл  делать	0
7308	почему они расстались    	0
7309	мни ничева дилать ничива интириснова ни происхидит  	0
7310	у меня обнаружилась пыль на матрице     надо чистить  в задумчивости  нести в сервис  или чистить самому    	0
7311	     сей музлоплеер требует java и    mplayer o o	0
7312	как мне учить это все дальше   срочно мне надо готовиться упорно  иначе  я пересдача будет	0
7313	иддэг бол идхэнэ л дээ       ангирын махыг даанч идэхгүйм да тэ      дандаа алах хядах хүчирхийлэлийн тухай бичнээ    	0
7314	пропустил  cassandraconf    но зато очень крутой рабочий день    до сих пор продолжается   	0
7315	после трейлера второй серии  у меня дурное предчувствие  что клоунада от шерлока продолжится    sherlock  sherlock lives  ночьшерлока	0
7316	я хочу чтобы в моей и вашей жизни наступила чёрная полоса…  чёрное море  чёрная икра  чёрный бентли  	1
7317	я обожаю попадать в жизненный поток    я сразу реализую все  что я хотел  волна удачи  бл     сейчас вот съезжаю к чуваку	1
7318	семейное счатье   это когда он дарит тебе на   марта утюг  и ты счастлива      teamfollowback	1
7319	посмотрев  как это выглядит в я ру  удалил кросспостинг   	1
7320	и как сейчас можно в твиттере спокойно выкладывать свои фото  если блокируют     	0
7321	хех  а куда подевались все мои личные сообщения   кто их куда дел   читайте  хрен с вами но удалять то зачем  	1
7322	еще один грустный день  спасибо вам что кинули меня  предатели   	0
7323	о да  ходила с сестрой на каток   давно я так не веселилась х 	1
7324	  сезон ходячих мертвецов выйдет только во второй половине      года я расстроен  	0
7325	прыг скок  прыг скок  как не хочется лететь   	0
7326	  аххахахахахахах у вас такая реакция  но я на полном серьезе х 	1
7327	 я как робот после трени на ноги    пропускать ваще низя 	0
7328	кошка опяять кота хочет   фак  опять это нытьё	0
7329	почему я такой человек почему у меня именно мой характер и я никак его не могу изменить        	0
7330	  московский бит     команда  кембридж из кемерово просто суупер    очень очень круто придумали  	1
7331	 да вот только   кэрри   дочитал  думаю фф продолжить  ты 	1
7332	 по факту  это наверно     ное доверие     dd	1
7333	 я смотрю второй сезон  первый мне нравился больше  	0
7334	я уже год пытаюсь найти хорошие тапули  но всё в пустую   	0
7335	 аа  мимими     а у нас ща пение  маамаа  пеервое слоовоо в каждой судьбе    	1
7336	     ахахахах только конь так может сказать  dd	1
7337	блин с этой заправкой картриджей начал ощущать неконтролируемое чувство гнева  когда сковывает разум и ты расхерачиваешь все к чертям  	0
7338	приняли душ  теперь сидим и жалеем что еды не купили   	0
7339	купила scribblenauts unlimited для  дс  но пока она на почте играю на пк   	0
7340	сегодня взяли щеночка вике    вот она   милашка эмми  	1
7341	уверенность в себе важна    а так же нужна   	1
7342	докачались мои дискографии вокалоидов и iosys    гигов  будем пробовать  	1
7343	 games  dendy   и у вас так было     	1
7344	 я уже боялся  что коронель уйдет  какой может быть мировой туринг без него  	1
7345	  может тебе напомнить кое что  малыш d	1
7346	отмечая др подруги из милой кафешки переползли в откровенно прокуренный и сильно любимый бар 	1
7347	   что то меня на арахис пробило  купил две банки по    гр  одну уже заточил   	1
7348	 да  раньше эта честь выпадала только мне  теперь нашлась новая жертва  	1
7349	   мне нужен кто нибудь  кто будет меня защищать  	0
7350	пошёл я приберусь  а то мама кричать будет   	0
7351	по словенски   варим пиво с поносом   значит   ни за что не догадаетесь    варим пиво с гордостью      	1
7352	 тогда еще делали же  с тех пор такая хрень в голове  просто сейчас участилось что то  	0
7353	 только покурила  отдохнуть надо или что нибудь другое 	0
7354	 ты фразу как  сам придумал или кто то подсказал   	1
7355	   над ман сити ржет вся англия  они не знали  что     выводят их на первое место  и потому пелегрини не выпускал агуэро    	1
7356	    да леня вообще мальчик классный з	0
7357	всё изменилось но всего лишь на миг   обидно 	0
7358	    азаза  я заметила  прогульщица  фу такой быть  d	1
7359	 вообще образа два   вот выбираю какой больше подходит   	1
7360	   вот так вот злые марсиане выкатывают новые версии на production  однако технологично и оригинально     	1
7361	то чувство  когда хэд красит глаза лучше  чем ты 	0
7362	дома напрочь нет кукисов  кто то их отключил 	0
7363	я только пришла в эту гребаную школу  а уже скучаю по своей кроватке 	0
7364	оказывается  у меня комп     часа пытался выключиться  теперь старается включиться уже минут     я же стараюсь уснуть уже   часа 	0
7365	ну почему под рок никто толком не танцует   	0
7366	 привези мне вафелек    у меня горе известного происхождения   	0
7367	  знание  не освобождает от ответственности     	1
7368	  ахахахахахах вона відпочивала   	1
7369	вот такая у меня охеренная бочина       	0
7370	к слову сегодня я прощаюсь с наушниками от ipod которые мне верно служили лет    но сегодня искупались в стиральной машинке  	0
7371	сейчас лежу и так одиноко  чувствую себя хатико	0
7372	этот десигнер по характеру мне напомнил нику и лелю 	1
7373	   ну вот и дожил до дней  когда google reader стал показывать мне         	0
7374	   судьбе на зло я буду с тобой  докажу  что все в моих руках   и ты тоже мой мальчик  	1
7375	оказывается  у сергея белоусова аж keynote про облака на hosting con   пос	0
7376	 блиин капец   я только смешные смотрела  такого видео я не видела еще	0
7377	но биатлон я  всё таки  люблю больше               	1
7378	посмотрела сегодня фильм  он так понравился что я не пожалела времени и еще раз его посмотрела d	1
7379	ехала с екатериной петровной  теперь знаю подробности про классы d	1
7380	 ебаа  dd как мы с мамой ржаали  dd центро вообще умеет удивлять	1
7381	   не мы наверно другие были такие же только у вас выбора больше                    	1
7382	   любимая ты наша    	0
7383	может параллельные линии когда нибудь пересекуться   	1
7384	  знайдемось   а ти видужуй швидше	1
7385	нууйоо     случайно reset   hard запустил    буду выцеплять по частям	0
7386	 ахахахахах даа  повезло с учителем dd так и не написал  ахахахахах	1
7387	 временно накрылся кабздой  я разрываюсь между циклическим надраиванием квартиры и лютым самосовершенствованием  спасите 	0
7388	риа    ученые нашли причины старения и смогли повернуть его вспять у мышей     и он уже знает об этом    o o 	0
7389	 спи давай     ночи     разговоров захотелось  d	1
7390	   посмотрела по вебочке на геш  я вся горю  	1
7391	спартак ростов кто смотрит   слышали     я твой рот  бал    	1
7392	 у тебя нету ног это раз  а я не могу забрать последнее что у тебя осталось  d	1
7393	сейчас еду наиавтобусе  так водила вылетый медведев  и рост и лицо  вообще один в один   	1
7394	в прошлые выходные меня кое кто приглашал гулять   а сегодня я никому не нужна   	1
7395	а всё потому  что я победитель по жизни   	0
7396	  ариш я скучать буду 	0
7397	завтра иду в кино  на фильм который давно хочу посмотреть спасибо артему за приглашение	1
7398	 еще как  надо чтоль уговорить его волосы отрастить	1
7399	только сейчас дошло  что вышло как будто девочка уровня а  написала слова  которые выучила     	0
7400	получите  блядь  распишитесь            аустрия зенит	0
7401	   посмотрим еще кто кого 	1
7402	 надо к нам  да       или ко мне за рекомендацией моей 	1
7403	болею редко  но метко  помню каждую свою болезнь за всю жизнь    но такой температуры не было никогда  как же все не в тему   	0
7404	мимиимимимии как всегдаа     	1
7405	зачем они делают так  каждую серию сижу и плачу    не хочу я расставаться с  himym   	0
7406	зима суровая прям в донецке  холодно  скользко  снег кругом  подскользнулся перед воротами во двор  как какашка разложился  аж смешно  	1
7407	засада  едем час с буянова до оврага  до мтл еще далеко 	0
7408	 мало ли дебилов неподалёку  можно не обращать внимания    	1
7409	 родители тащат меня в гости  может я отпрошусь остаться одна дома 	0
7410	      это смайлик шредингера  он весёлый и грустный одновременно   мимими	0
7411	и все потому что мой страх умереть голодной  в данном случае умереть от нервного истощения  но кто узнает  что я жру и худею 	0
7412	  поскорей бы нг диско уже   	1
7413	   от души ржем с настей над моей глупостью  d	1
7414	хочу в нарнию  но в моём шкафе её нету   	0
7415	       получается  что смолбанк в приказном тоне   вы должны   заставил стоять на морозе  ставя под угрозу здоровье 	1
7416	меня постигло разочарование  по телеку нет фигурного катания   	0
7417	 почему то я уверена  что твой нг будет отличнейшим  	1
7418	 блин ну куда можно вам написать е маил           	0
7419	сегодня праздник    всемирный день снега   а у нас  ветер  грязь  сырость       	0
7420	доброе утро  юля меня сегодня оставила в одиночестве  	0
7421	зачем ходить на работу  когда можно страдать за итоги года и смотреть на оленей     	0
7422	   а вот вдруг еще кто попал   	0
7423	    ахах отлично замутил  я на будущее учту с 	1
7424	выходные прошли под девизом   эх пить будем  гулять будем   а смерть придет   помирать будем      	1
7425	 это вы сейчас специально так говорите  	0
7426	  некуда ставить пока что 	0
7427	  плохо что ни из одного ещё кровь не течет    	0
7428	я ебу я возвращаюсь на серебрянку гори в аду    хоть бы писали по какому маршруту едут мудаки 	0
7429	   поздно уже  чего думаешь  	0
7430	максим найден  сигареты куплены  курсовик пишется   хороший день  ванька молодец   	1
7431	 на ударных на хелена бит пиздец даже на самом легком уровне    	1
7432	м    кстати  у меня завтра   урока о  и надо их делать  ибо я щас спал и ниууя не делал  d	1
7433	выходя на этой остановке вспоминаю один хороший момент    радует	1
7434	я с сегоднешнего дня забываю про маты   хотя ими выражаюсь крайне редко 	1
7435	ахахах     решила попить чай dd 	1
7436	 ну нащот граммар наци я только тебе руку пожмаю  а вот с датами можешь расслабиться     миллионы мух не могут ошибаться        	1
7437	   ужасная ночь ужасное утро за что мне такие мучения   	0
7438	   я проиграл    в покер    рублей    	1
7439	прогуляла пол урока в художке  спала    щас пойду на вторую половину  дома скучно  	0
7440	i liked a  video  поздравил с днюхой  d	1
7441	сейчас играю маг   маг  половина матча прошла вообще без карт   d  hearthstone	1
